"ID","SAName","MapName","ServingArea","PremiseCount","CustomerCount","DSLAvailable","DSLTake","ISPTake","TVAvailable","TVTake","WorkforceArea","StructureLink","Comments"
"1","SPRV","SOUTH BROADUS","SOUTH POWDER RIVER","","","","","","","","","",""
"14","SHSH","SHOSHONI","","","","","","","","","","",""
"15","LTCN","SHOSHONI","","","","","","","","","","",""
"16","LYST","SHOSHONI","","","","","","","","","","",""
"17","BRCR","SHOSHONI","","","","","","","","","","",""
"18","BEYE","SHOSHONI","","","","","","","","","","",""
"19","BYSN","SHOSHONI","","","","","","","","","","",""
"20","LCGP","SHOSHONI","","","","","","","","","","",""
"22","DRKE","WORLAND","","","","","","","","","","",""
"24","SFRD","WORLAND","","","","","","","","","","",""
"25","RSRG","WORLAND","","","","","","","","","","",""
"26","CTWD","WORLAND","","","","","","","","","","",""
"27","LKLN","WORLAND","","","","","","","","","","",""
"28","BYSL","WORLAND","","","","","","","","","","",""
"29","SHPL","WORLAND","","","","","","","","","","",""
"30","FCNL","WORLAND","","","","","","","","","","",""
"31","BHRN","WORLAND","","","","","","","","","","",""
"32","HNVR","WORLAND","","","","","","","","","","",""
"33","WNCH","WORLAND","","","","","","","","","","",""
"34","WRRD","WORLAND","","","","","","","","","","",""
"35","APRD","WORLAND","","","","","","","","","","",""
"36","RDTH","WORLAND","","","","","","","","","","",""
"38","NWTR","WORLAND","","","","","","","","","","",""
"39","BLUF","WORLAND","","","","","","","","","","",""
"42","SESM","WORLAND","","","","","","","","","","",""
"45","SSES","WORLAND","","","","","","","","","","",""
"47","ARPS","WORLAND","","","","","","","","","","",""
"48","WMCC","WORLAND","","","","","","","","","","",""
"49","PTBR","WORLAND","","","","","","","","","","",""
"137","WRLD","WORLAND","","","","","","","","","","",""
"170","BFCR","THERMOPOLIS","","","","","","","","","","",""
"171","KIRB","THERMOPOLIS","","","","","","","","","","",""
"173","KCRS","THERMOPOLIS","","","","","","","","","","",""
"174","LCRN","THERMOPOLIS","","","","","","","","","","",""
"175","CBMN","THERMOPOLIS","","","","","","","","","","",""
"176","ETHM","THERMOPOLIS","","","","","","","","","","",""
"177","BKMN","THERMOPOLIS","","","","","","","","","","",""
"178","STHM","THERMOPOLIS","","","","","","","","","","",""
"179","SNSD","THERMOPOLIS","","","","","","","","","","",""
"180","KBCK","THERMOPOLIS","","","","","","","","","","",""
"181","NTHM","THERMOPOLIS","","","","","","","","","","",""
"182","SGVL","THERMOPOLIS","","","","","","","","","","",""
"183","MTVW","THERMOPOLIS","","","","","","","","","","",""
"184","MADN","THERMOPOLIS","","","","","","","","","","",""
"185","BDWY","THERMOPOLIS","","","","","","","","","","",""
"186","RDLN","THERMOPOLIS","","","","","","","","","","",""
"188","FRMT","THERMOPOLIS","","","","","","","","","","",""
"189","THRM","THERMOPOLIS","","","","","","","","","","",""
"190","RDRK","THERMOPOLIS","","","","","","","","","","",""
"212","MIKS","BIRNEY","MIKESELL","","","","","","","","","",""
"214","BVIL","BIRNEY","BIRNEY VILLAGE CXR","","","","","","","","","",""
"217","FTHW","ASHLAND","FORT HOWE","","","","","","","","","",""
"219","OTTR","ASHLAND","OTTER CREEK","","","","","","","","","",""
"220","ASHN","ASHLAND","ASHLAND NORTH","","","","","","","","","",""
"221","ODEL","ASHLAND","ODELL CREEK","","","","","","","","","",""
"228","SODA","UPTON","SODA","","","","","","","","","",""
"229","THRN","UPTON","THRN","","","","","","","","","",""
"230","ACRD","UPTON","ACRD","","","","","","","","","",""
"231","FIDL","UPTON","","","","","","","","","","",""
"232","RVCR","UPTON","RVCR","","","","","","","","","",""
"233","GBVL","UPTON","","","","","","","","","","",""
"235","MRCR","MOORCROFT","MRCR","","","","","","","","","",""
"236","CBCR","MOORCROFT","CBCR","","","","","","","","","",""
"237","RKNK","MOORCROFT","RKNK","","","","","","","","","",""
"238","OSRD","MOORCROFT","OSRD","","","","","","","","","",""
"239","CJCT","MOORCROFT","CJCT","","","","","","","","","",""
"240","PJCT","MOORCROFT","PJCT","","","","","","","","","",""
"241","HKAY","MOORCROFT","HKAY","","","","","","","","","",""
"242","BRTH","MOORCROFT","BRTH","","","","","","","","","",""
"243","PHVN","MOORCROFT","PHVN","","","","","","","","","",""
"244","IKCR","MOORCROFT","IKCR","","","","","","","","","",""
"246","SUSX","KAYCEE","","","","","","","","","","",""
"247","LNBR","KAYCEE","","","","","","","","","","",""
"248","KAYC","KAYCEE","","","","","","","","","","",""
"249","DRCR","KAYCEE","","","","","","","","","","",""
"250","BRNM","KAYCEE","","","","","","","","","","",""
"251","MWTH","KAYCEE","","","","","","","","","","",""
"252","NPRV","KAYCEE","","","","","","","","","","",""
"253","BRKR","KAYCEE","","","","","","","","","","",""
"254","LNTR","KAYCEE","","","","","","","","","","",""
"256","GRCH","KAYCEE","","","","","","","","","","",""
"257","KCEA","KAYCEE","","","","","","","","","","",""
"259","PRCC","KAYCEE","","","","","","","","","","",""
"260","NBNM","KAYCEE","","","","","","","","","","",""
"291","DADH","BAGGS","DAD HUT","","","","","","","","","",""
"294","POSN","BAGGS","POISON BUTTES","","","","","","","","","",""
"297","SKUL","NEWCASTLE","SKUL","","","","","","","","","",""
"298","CLSP","OSAGE","CLSP","","","","","","","","","",""
"299","HLTT","HULETT","HLTT","","","","","","","","","",""
"300","OSHO","HULETT","OSHO","","","","","","","","","",""
"301","LTLM","HULETT","LTLM","","","","","","","","","",""
"302","ALZA","HULETT","ALZA","","","","","","","","","",""
"303","DVLT","HULETT","DVLT","","","","","","","","","",""
"304","RKPT","HULETT","RKPT","","","","","","","","","",""
"305","RGSC","HULETT","RGSC","","","","","","","","","",""
"306","ALVA","HULETT","ALVA","","","","","","","","","",""
"307","GLDD","HULETT","GLDD","","","","","","","","","",""
"308","SHLN","HULETT","SHLN","","","","","","","","","",""
"309","MONA","HULETT","MONA","","","","","","","","","",""
"310","RDGE","HULETT","RDGE","","","","","","","","","",""
"311","BRCY","HULETT","BRCY","","","","","","","","","",""
"312","NWHV","HULETT","NWHV","","","","","","","","","",""
"314","DTJC","HULETT","DTJC","","","","","","","","","",""
"320","LNCH","MIDWEST","","","","","","","","","","",""
"321","IBLN","MIDWEST","","","","","","","","","","",""
"322","NARE","MIDWEST","","","","","","","","","","",""
"323","TEPT","MIDWEST","","","","","","","","","","",""
"325","NWCS","NEWCASTLE","NWCS","","","","","","","","","",""
"326","DEWY","NEWCASTLE","DEWY","","","","","","","","","",""
"327","OCRD","NEWCASTLE","OCRD","","","","","","","","","",""
"328","FCNR","NEWCASTLE","FCNR","","","","","","","","","",""
"329","MALO","NEWCASTLE","MALO","","","","","","","","","",""
"330","SCRD","NEWCASTLE","SCRD","","","","","","","","","",""
"331","SWTR","NEWCASTLE","SWTR","","","","","","","","","",""
"332","CYRD","NEWCASTLE","CYRD","","","","","","","","","",""
"333","KELN","NEWCASTLE","KELN","","","","","","","","","",""
"334","BRDR","NEWCASTLE","BRDR","","","","","","","","","",""
"335","CHRS","NEWCASTLE","CHRS","","","","","","","","","",""
"336","GLTC","NEWCASTLE","GLTC","","","","","","","","","",""
"337","GVRD","NEWCASTLE","GVRD","","","","","","","","","",""
"338","CSTH","NEWCASTLE","CSTH","","","","","","","","","",""
"339","WPCN","NEWCASTLE","WPCN","","","","","","","","","",""
"340","SGVR","NEWCASTLE","SGVR","","","","","","","","","",""
"341","RGLN","NEWCASTLE","RGLN","","","","","","","","","",""
"342","WMSC","NEWCASTLE","WMSC","","","","","","","","","",""
"343","BKHN","NEWCASTLE","BKHN","","","","","","","","","",""
"344","MSCR","NEWCASTLE","MSCR","","","","","","","","","",""
"345","SKCR","NEWCASTLE","","","","","","","","","","",""
"346","MRRS","NEWCASTLE","MRRS","","","","","","","","","",""
"347","FDRD","NEWCASTLE","FDRD","","","","","","","","","",""
"348","BRNK","NEWCASTLE","BRNK","","","","","","","","","",""
"350","SALM","NEWCASTLE","SALM","","","","","","","","","",""
"352","EKMT","NEWCASTLE","EKMT","","","","","","","","","",""
"376","FKRN","DECKER","FORKS RANCH","","","","","","","","","",""
"380","SPCK","DECKER","SPRING CREEK","","","","","","","","","",""
"381","KRBY","DECKER","KIRBY HUT","","","","","","","","","",""
"382","BDGR","DECKER","BADGER CREEK","","","","","","","","","",""
"383","YONG","DECKER","YOUNGS CREEK","","","","","","","","","",""
"384","PNBT","DECKER","PINE BUTTE","","","","","","","","","",""
"385","GORM","DECKER","GORMAN SUBDIVISION","","","","","","","","","",""
"387","LMDS","LAME DEER","LAME DEER HUT","","","","","","","","","",""
"388","LMDN","LAME DEER","LAME DEER NORTH HUT","","","","","","","","","",""
"389","MCKS","LAME DEER","MUDDY CREEK SOUTH","","","","","","","","","",""
"390","MDCL","LAME DEER","MUDDY CLUSTER HUT","","","","","","","","","",""
"391","BURN","LAME DEER","BURNS COURT","","","","","","","","","",""
"392","BNDY","BUSBY","BOUNDARY HUT","","","","","","","","","",""
"393","BSBS","BUSBY","BUSBY SOUTH","","","","","","","","","",""
"394","HMMD","BUSBY","BUSBY HAMMOND RADIO SITE","","","","","","","","","",""
"395","DOWP","SOUTHEAST SHERIDAN","DOW PRONG","","","","","","","","","",""
"397","UXRS","SOUTHEAST SHERIDAN","UCROSS CABINET","","","","","","","","","",""
"443","CWTW","CLEARMONT","CRAZY WOMAN 2 CXR CABINET","","","","","","","","","",""
"445","CWTR","CLEARMONT","CRAZY WOMAN 3 CXR CABINET","","","","","","","","","",""
"482","SRPM","HYSHAM","SARPY MINE","","","","","","","","","",""
"483","HSCK","HYSHAM","HORSE CREEK","","","","","","","","","",""
"484","VNDA","HYSHAM","VANANDA","","","","","","","","","",""
"485","MDSP","HYSHAM","MID SPAN","","","","","","","","","",""
"486","TLCK","HYSHAM","TULLOCK CREEK","","","","","","","","","",""
"487","CSRK","HYSHAM","CASTLE ROCK","","","","","","","","","",""
"488","LIND","HYSHAM","LIND","","","","","","","","","",""
"489","MYRS","HYSHAM","MYERS","","","","","","","","","",""
"490","CNHM","HYSHAM","CUNNINGHAM","","","","","","","","","",""
"491","BYLS","HYSHAM","BAYLES","","","","","","","","","",""
"492","NPWD","ARVADA","NORTH POWDER RIVER","","","","","","","","","",""
"493","PRON","ARVADA","POWDER RIVER 1","","","","","","","","","",""
"494","ARVE","ARVADA","ARVADA EAST","","","","","","","","","",""
"495","WDHR","ARVADA","WILD HORSE","","","","","","","","","",""
"496","FRGE","ARVADA","4G CLUBHOUSE","","","","","","","","","",""
"498","PRFR","ARVADA","POWDER RIVER 4","","","","","","","","","",""
"499","SPTH","ARVADA","SPOTTED HORSE","","","","","","","","","",""
"501","TRRC","ARVADA","TR RANCH","","","","","","","","","",""
"504","RBCK","ROSEBUD","ROSEBUD CREEK HUT","","","","","","","","","",""
"507","PLCH","ROSEBUD","POLICH CXR CABINET","","","","","","","","","",""
"508","ASLY","ROSEBUD","ASHLEY CXR CABINET","","","","","","","","","",""
"511","HAUL","ALZADA","HAUL ROAD","","","","","","","","","",""
"512","DHUT","SOUTH MILES CITY","D HUT","","","","","","","","","",""
"513","AHUT","SOUTH MILES CITY","A HUT","","","","","","","","","",""
"514","FHUT","SOUTH MILES CITY","F HUT","","","","","","","","","",""
"516","LOCT","SOUTH MILES CITY","LOCATE CABINET","","","","","","","","","",""
"517","CHUT","SOUTH MILES CITY","C HUT","","","","","","","","","",""
"518","SYSC","SOUTH MILES CITY","SY SCHOOL CABINET","","","","","","","","","",""
"553","BUFF","DUBOIS","BUFFALO BUTTES","","","","","","","","","",""
"555","UDNR","DUBOIS","UPPER DUNOIR","","","","","","","","","",""
"571","CCRK","DUBOIS","CROOKED CREEK","","","","","","","","","",""
"576","CWHT","DUBOIS","CROWHEART","","","","","","","","","",""
"577","BURS","DUBOIS","BURRIS","","","","","","","","","",""
"578","UTZR","DUBOIS","UTZINGER","","","","","","","","","",""
"585","EFRK","DUBOIS","EAST FORK","","","","","","","","","",""
"586","RICE","DUBOIS","RICE","","","","","","","","","",""
"587","TIMB","DUBOIS","TIMBERLINE","","","","","","","","","",""
"588","LDNR","DUBOIS","LOWER DUNOIR","","","","","","","","","",""
"589","REDG","DUBOIS","RIVERS EDGE","","","","","","","","","",""
"591","TVRC","DUBOIS","TETON VALLEY RANCH CAMP","","","","","","","","","",""
"592","UPAS","DUBOIS","UNION PASS","","","","","","","","","",""
"593","PINS","DUBOIS","PINNACLES SUMMER","","","","","","","","","",""
"594","STPT","DUBOIS","STONEY POINT","","","","","","","","","",""
"600","BURL","DUBOIS","BURRIS-LENORE","","","","","","","","","",""
"602","REDB","DUBOIS","RED BARN","","","","","","","","","",""
"607","REDR","DUBOIS","RED ROCKS","","","","","","","","","",""
"612","WILD","DUBOIS","WILDERNESS","","","","","","","","","",""
"619","TLRH","DUBOIS","TRAIL LAKE RANCH","","","","","","","","","",""
"621","BRKS","DUBOIS","BROOKS","","","","","","","","","",""
"622","THED","DUBOIS","THUNDERHEAD","","","","","","","","","",""
"639","NWCL","SUNDANCE","NEW CASTLE","","","","","","","","","",""
"641","SDSE","SUNDANCE","SUNDANCE SOUTHEAST","","","","","","","","","",""
"644","CKLK","SUNDANCE","COOK LAKE","","","","","","","","","",""
"645","RFPT","SUNDANCE","RIFLE PIT","","","","","","","","","",""
"647","TALY","SUNDANCE","TALLY","","","","","","","","","",""
"648","WNPK","SUNDANCE","WARREN PEAK","","","","","","","","","",""
"650","BLHS","SUNDANCE","BEULAH SOUTH","","","","","","","","","",""
"654","SHLN","BAGGS","SHEEHAN LANE","","","","","","","","","",""
"662","FMCK","BAGGS","FOUR MILE CREEK","","","","","","","","","",""
"673","NBAG","BAGGS","NORTH BAGGS","","","","","","","","","",""
"675","WBRM","BAGGS","WEBBER MESA","","","","","","","","","",""
"682","LNDB","PINE BLUFFS","","","","","","","","","","",""
"683","PNBL","PINE BLUFFS","","","","","","","","","","",""
"684","BKHL","PINE BLUFFS","","","","","","","","","","",""
"685","FORN","PINE BLUFFS","","","","","","","","","","",""
"686","PNBL","PINE BLUFFS","","","","","","","","","","",""
"687","POPL","PINE BLUFFS","","","","","","","","","","",""
"695","MDWY","ALBIN","","","","","","","","","","",""
"696","MRDN","ALBIN","","","","","","","","","","",""
"697","MLLR","ALBIN","","","","","","","","","","",""
"698","GDPR","ALBIN","","","","","","","","","","",""
"699","TORY","ALBIN","","","","","","","","","","",""
"700","LRWK","ALBIN","","","","","","","","","","",""
"707","HLDL","BURNS","","","","","","","","","","",""
"708","EGBT","BURNS","","","","","","","","","","",""
"709","HLDN","BURNS","","","","","","","","","","",""
"710","MSRD","BURNS","","","","","","","","","","",""
"711","LYON","BURNS","","","","","","","","","","",""
"712","WGWL","BURNS","","","","","","","","","","",""
"713","TRNY","BURNS","","","","","","","","","","",""
"714","KING","BURNS","","","","","","","","","","",""
"715","STRD","BURNS","","","","","","","","","","",""
"716","DRHM","BURNS","","","","","","","","","","",""
"717","MRTN","BURNS","","","","","","","","","","",""
"718","ALPH","BURNS","","","","","","","","","","",""
"719","TWNS","BURNS","","","","","","","","","","",""
"720","THBN","BURNS","","","","","","","","","","",""
"735","RGTH","CARPENTER","","","","","","","","","","",""
